id,Price_euros
181,2081.9639
708,651.61304
862,374.02817
1064,1455.4001
702,955.4726
585,1257.4565
195,3035.155
463,574.14734
14,2776.4062
621,2076.2505
1259,1612.6958
551,482.3089
358,292.75458
610,507.83392
880,428.77203
655,1283.1569
630,399.38992
483,1765.7189
115,1655.3502
297,1482.6844
1162,1930.6704
666,1217.4115
1278,1559.312
777,1404.3314
521,2013.9563
93,392.29004
260,885.1384
733,351.4689
908,1138.1544
797,550.35
71,960.7932
60,1228.5454
608,1963.6227
82,347.62888
540,622.45123
761,1691.6915
473,815.81647
183,729.7382
186,3023.5703
846,515.79376
901,677.7642
912,962.3671
27,1043.5353
1127,2072.3745
858,1144.0869
958,1797.843
771,599.12445
930,3425.5857
807,269.3803
618,1208.9401
250,1074.9587
334,1020.4269
180,984.98804
886,329.502
394,1085.8604
659,703.5484
764,644.6605
428,240.86462
1231,1409.2963
865,1053.5415
1286,1191.5249
635,1075.5459
143,646.1833
376,1023.2647
1032,1274.6615
1057,1448.0048
1089,728.0103
87,2494.6213
1072,552.9388
211,2091.666
1003,942.5338
889,2594.592
1066,1829.7322
1225,898.9835
146,1454.5364
1044,1134.2542
1105,828.9998
59,474.17462
251,1124.9696
954,1140.3572
948,281.40063
887,1870.838
369,1645.347
1148,944.89734
1062,1228.2255
1135,1417.1888
1180,2183.5205
620,519.1916
304,1772.7007
1048,576.2991
157,774.0719
1128,442.55515
714,1124.7098
993,1085.9955
689,2019.8286
443,554.4501
673,2165.6333
975,941.39746
391,960.8253
810,613.3881
32,624.4631
724,297.367
287,1466.0981
857,1069.674
1087,823.0985
386,755.39886
649,997.1166
1247,820.41943
279,1379.584
1176,1478.1301
1125,1185.8114
286,662.8644
937,279.4686
508,718.78595
88,992.78864
446,1559.1915
336,896.449
779,1320.7206
224,649.2044
834,1623.1633
238,482.48444
582,1222.4993
726,883.6622
462,1566.622
863,274.18958
987,1616.9796
1118,2438.2114
1151,1773.8905
736,2120.394
957,972.91504
502,1046.793
811,1187.8276
898,338.40118
802,1594.1304
265,878.20807
1081,579.60376
104,343.775
675,2293.797
1209,1235.8738
1004,612.5028
29,626.25726
432,2054.1313
684,1642.9475
240,1366.9976
237,2893.9587
152,1302.6486
725,1096.6226
97,445.56613
1155,1295.3158
746,1901.1628
1143,876.6739
592,736.0085
479,1440.0527
1098,456.24677
903,1235.5593
936,1141.2367
539,2542.9644
