id,Price_euros
181,2105.2651
708,655.9646
862,374.18008
1064,1456.1362
702,959.97095
585,1255.6671
195,3019.751
463,576.6867
14,2793.3892
621,2087.327
1259,1597.3163
551,482.77762
358,295.6462
610,514.5834
880,430.20892
655,1285.1637
630,389.1129
483,1769.5273
115,1659.2188
297,1483.0402
1162,1927.0747
666,1229.6233
1278,1558.204
777,1415.0345
521,2022.3734
93,389.11627
260,890.5738
733,354.1317
908,1138.2188
797,550.70105
71,971.15924
60,1225.359
608,1954.9781
82,351.6851
540,624.90375
761,1691.3602
473,809.11725
183,726.21814
186,3035.019
846,519.37396
901,678.36774
912,962.0951
27,1055.8977
1127,2074.816
858,1143.8392
958,1800.2607
771,600.3208
930,3416.6475
807,267.39896
618,1206.5745
250,1070.556
334,1019.8111
180,982.8089
886,330.74078
394,1090.107
659,704.2444
764,652.53326
428,241.28674
1231,1422.9083
865,1059.4543
1286,1195.1696
635,1069.4454
143,654.3618
376,1024.8594
1032,1281.5819
1057,1463.4891
1089,722.2834
87,2487.2646
1072,553.1703
211,2097.8098
1003,940.12195
889,2575.868
1066,1843.111
1225,891.5097
146,1451.0002
1044,1132.807
1105,825.9667
59,474.0891
251,1126.6964
954,1140.9769
948,283.48944
887,1867.0078
369,1659.488
1148,940.46924
1062,1236.2427
1135,1418.8048
1180,2188.9153
620,521.8167
304,1777.2129
1048,573.2379
157,772.4801
1128,438.98343
714,1127.2076
993,1086.6423
689,2018.6459
443,551.5738
673,2164.1074
975,947.44116
391,966.29956
810,613.51465
32,629.6123
724,302.39008
287,1474.6686
857,1072.1577
1087,821.2943
386,756.71857
649,995.8901
1247,826.79614
279,1378.1139
1176,1486.7019
1125,1186.865
286,654.9126
937,280.90475
508,717.0541
88,995.65643
446,1556.2395
336,890.03125
779,1317.6116
224,648.732
834,1628.7823
238,481.11472
582,1225.0331
726,884.346
462,1569.6157
863,277.78522
987,1624.5216
1118,2442.703
1151,1779.9022
736,2127.2712
957,977.49207
502,1039.8677
811,1187.8406
898,336.1364
802,1591.1927
265,876.72345
1081,583.58636
104,333.76202
675,2296.1514
1209,1231.4711
1004,613.932
29,631.2083
432,2034.1047
684,1631.4064
240,1365.3331
237,2900.298
152,1303.3234
725,1085.5499
97,442.2074
1155,1295.2759
746,1893.2512
1143,873.19446
592,733.82513
479,1446.215
1098,454.16183
903,1232.8201
936,1142.7673
539,2545.214
653,358.58035
310,471.3151
892,1283.3013
338,2240.5417
705,537.2098
273,1454.0885
758,2335.2793
1080,2176.3667
1073,2125.5483
480,1351.3147
1267,1831.0432
545,756.71857
153,389.0054
573,2344.8713
1150,2824.0305
949,2586.6245
160,635.6245
537,1950.6927
1102,1428.7771
833,825.58704
513,1270.9205
1202,3075.9346
76,1609.8276
514,491.45605
133,2024.4138
1251,534.9233
806,449.27423
1021,660.9214
206,1741.7206
870,1445.4528
179,866.48254
706,576.74164
416,1994.5658
534,1564.1149
989,822.3033
316,1021.3712
507,1694.6555
817,425.18857
776,1744.141
831,1922.1858
1229,789.27185
295,1676.0236
660,1193.5865
612,768.09375
529,1583.6575
114,1172.6952
492,2449.7373
226,917.74805
695,331.54657
751,625.88403
644,556.5139
1185,792.9935
917,1926.8079
527,1174.9026
854,785.6743
182,1694.9694
346,895.68005
90,326.9938
468,1125.3328
1147,502.49594
1061,1356.1952
1156,1126.3368
496,705.96387
312,2376.3882
822,1005.40826
337,1705.1567
835,1233.422
255,1018.9973
364,1790.3917
944,2074.4094
1266,648.32587
505,469.19424
350,618.3419
800,913.3904
567,820.71515
1242,2452.349
905,1055.3129
587,2106.406
922,922.0728
259,1160.0146
1248,976.73425
641,302.6665
128,549.61505
215,2409.0554
756,667.0461
1054,1170.8895
651,1068.8457
86,1613.6396
1037,1385.1555
1299,1053.1241
1109,2288.8677
679,575.8529
1099,1515.4167
6,1654.3419
1163,974.76385
516,1949.1556
1115,1300.3301
977,1822.6512
